"",".","","","","","",""
"","1","2","3","4","6","7","Total"
"","b/colpct","b/colpct","b/colpct","b/colpct","b/colpct","b/colpct","b/colpct"
"Missing","400","200","566","369","108","119","1762"
"","12.43394","11.79941","13.12007","9.4883","7.166556","10.52166","11.18517"
"Complete","2817","1495","3748","3520","1399","1012","13991"
"","87.56606","88.20059","86.87993","90.5117","92.83344","89.47834","88.81483"
"Total","3217","1695","4314","3889","1507","1131","15753"
"","100","100","100","100","100","100","100"
"chi2","58.22366","","","","","",""
"p","2.83e-11","","","","","",""
