
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.765",="0.000204",="0",="0.0251",="0.00452",="0.124"
="",="0.00575",="0.0000913",="0",="0.00242",="0.00452",="0.00178"

="age_2",="0.233",="0.131",="0",="0.0819",="0",="0.140"
="",="0.00573",="0.00215",="0",="0.00424",="0",="0.00187"

="age_3",="0.00147",="0.153",="0",="0.00479",="0.00452",="0.110"
="",="0.000520",="0.00230",="0",="0.00107",="0.00452",="0.00169"

="age_4",="0.000184",="0.102",="0.0222",="0.00575",="0.0181",="0.0732"
="",="0.000184",="0.00193",="0.0222",="0.00117",="0.00899",="0.00141"

="age_5",="0",="0.0815",="0.0444",="0.00743",="0.0317",="0.0592"
="",="0",="0.00175",="0.0311",="0.00133",="0.0118",="0.00127"

="age_6",="0",="0.0817",="0.111",="0.0165",="0.0407",="0.0606"
="",="0",="0.00175",="0.0474",="0.00197",="0.0133",="0.00129"

="age_7",="0",="0.0773",="0.0444",="0.0299",="0.0724",="0.0593"
="",="0",="0.00171",="0.0311",="0.00264",="0.0175",="0.00127"

="age_8",="0.000184",="0.0742",="0.0667",="0.0354",="0.0814",="0.0578"
="",="0.000184",="0.00168",="0.0376",="0.00286",="0.0184",="0.00126"

="age_9",="0",="0.0677",="0.111",="0.0649",="0.145",="0.0572"
="",="0",="0.00161",="0.0474",="0.00381",="0.0237",="0.00125"

="age_10",="0",="0.0640",="0.222",="0.0934",="0.127",="0.0581"
="",="0",="0.00156",="0.0627",="0.00450",="0.0224",="0.00126"

="age_11",="0",="0.0671",="0.0889",="0.166",="0.158",="0.0691"
="",="0",="0.00160",="0.0429",="0.00576",="0.0246",="0.00137"

="age_12",="0",="0.0422",="0.0667",="0.155",="0.127",="0.0499"
="",="0",="0.00129",="0.0376",="0.00561",="0.0224",="0.00117"

="age_13",="0.000184",="0.0271",="0.0889",="0.123",="0.0588",="0.0348"
="",="0.000184",="0.00104",="0.0429",="0.00508",="0.0159",="0.000988"

="age_14",="0",="0.0314",="0.133",="0.191",="0.131",="0.0466"
="",="0",="0.00111",="0.0512",="0.00608",="0.0228",="0.00114"

="N",="34360",="",="",="",="",=""

