
="",="(1)",="",="",=""
="",="",="",="",=""
="",="2",="4",="5",="Total"

="age_1",="0",="0.152",="0",="0.124"
="",="0",="0.00214",="0",="0.00178"

="age_2",="0.000335",="0.170",="0",="0.140"
="",="0.000237",="0.00224",="0",="0.00187"

="age_3",="0.0387",="0.126",="0",="0.110"
="",="0.00250",="0.00198",="0",="0.00169"

="age_4",="0.139",="0.0598",="0.0186",="0.0732"
="",="0.00447",="0.00141",="0.00924",="0.00141"

="age_5",="0.134",="0.0433",="0.0744",="0.0592"
="",="0.00441",="0.00121",="0.0179",="0.00127"

="age_6",="0.125",="0.0461",="0.167",="0.0606"
="",="0.00429",="0.00125",="0.0255",="0.00129"

="age_7",="0.109",="0.0479",="0.172",="0.0593"
="",="0.00403",="0.00127",="0.0258",="0.00127"

="age_8",="0.101",="0.0482",="0.121",="0.0578"
="",="0.00390",="0.00128",="0.0223",="0.00126"

="age_9",="0.0935",="0.0492",="0.0977",="0.0572"
="",="0.00377",="0.00129",="0.0203",="0.00125"

="age_10",="0.0823",="0.0527",="0.0884",="0.0581"
="",="0.00356",="0.00133",="0.0194",="0.00126"

="age_11",="0.0865",="0.0652",="0.0930",="0.0691"
="",="0.00364",="0.00147",="0.0199",="0.00137"

="age_12",="0.0434",="0.0509",="0.0977",="0.0499"
="",="0.00264",="0.00131",="0.0203",="0.00117"

="age_13",="0.0256",="0.0368",="0.0279",="0.0348"
="",="0.00205",="0.00112",="0.0113",="0.000988"

="age_14",="0.0220",="0.0518",="0.0419",="0.0466"
="",="0.00190",="0.00132",="0.0137",="0.00114"

="N",="34360",="",="",=""

