
="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="2",="3",="4",="5",="Total"

="age_1",="0",="0",="0.290",="0",="0.124"
="",="0",="0",="0.00374",="0",="0.00178"

="age_2",="0.0350",="0",="0.280",="0",="0.140"
="",="0.00133",="0",="0.00370",="0",="0.00187"

="age_3",="0.186",="0",="0.0146",="0.00606",="0.110"
="",="0.00280",="0",="0.000989",="0.00428",="0.00169"

="age_4",="0.128",="0",="0.00251",="0.0333",="0.0732"
="",="0.00241",="0",="0.000412",="0.00990",="0.00141"

="age_5",="0.0990",="0",="0.00698",="0.0909",="0.0592"
="",="0.00215",="0",="0.000686",="0.0158",="0.00127"

="age_6",="0.0946",="0.0175",="0.0144",="0.152",="0.0606"
="",="0.00211",="0.0175",="0.000982",="0.0198",="0.00129"

="age_7",="0.0880",="0.0351",="0.0203",="0.133",="0.0593"
="",="0.00204",="0.0246",="0.00116",="0.0187",="0.00127"

="age_8",="0.0814",="0.0702",="0.0257",="0.118",="0.0578"
="",="0.00197",="0.0341",="0.00130",="0.0178",="0.00126"

="age_9",="0.0701",="0.105",="0.0390",="0.112",="0.0572"
="",="0.00184",="0.0410",="0.00159",="0.0174",="0.00125"

="age_10",="0.0640",="0.175",="0.0488",="0.103",="0.0581"
="",="0.00177",="0.0508",="0.00177",="0.0168",="0.00126"

="age_11",="0.0617",="0.193",="0.0772",="0.118",="0.0691"
="",="0.00173",="0.0527",="0.00220",="0.0178",="0.00137"

="age_12",="0.0401",="0.140",="0.0620",="0.0636",="0.0499"
="",="0.00142",="0.0464",="0.00198",="0.0135",="0.00117"

="age_13",="0.0237",="0.193",="0.0489",="0.0242",="0.0348"
="",="0.00110",="0.0527",="0.00178",="0.00848",="0.000988"

="age_14",="0.0286",="0.0702",="0.0700",="0.0455",="0.0466"
="",="0.00120",="0.0341",="0.00210",="0.0115",="0.00114"

="N",="34360",="",="",="",=""

