TVTYPE1,dif,lwr,upr
-2,1.7733706237,-0.182888929,3.7296301768
1,-4.871352108,-7.963277033,-1.779427183
2,-29.68621672,-32.88490839,-26.48752506
3,24.099870231,20.030443399,28.169297063
4,-0.18814941,-2.065744937,1.6894461176
5,8.8724773841,6.6289058068,11.116048961
-2,1.1420313845,-0.126335942,2.4103987115
1,-8.239644484,-11.35033785,-5.128951117
2,-27.17376999,-29.82131571,-24.52622426
3,28.725410659,25.940247877,31.510573441
4,-1.863906391,-2.96410673,-0.763706052
5,7.4098788192,5.5234644038,9.2962932346
-2,1.3471765574,0.3941038425,2.3002492723
1,-7.528155921,-10.21290637,-4.843405473
2,-24.58606517,-26.81636594,-22.3557644
3,25.914586559,23.342921752,28.486251367
4,-3.43538479,-4.220640881,-2.650128698
5,8.2878427621,6.6542989681,9.9213865562
-2,1.4827281388,0.5189121797,2.446544098
1,-1.40658044,-4.578034391,1.7648735113
2,-25.34146629,-29.29871932,-21.38421325
3,21.474719819,18.349950749,24.599488888
4,-3.833081383,-5.164242035,-2.501920731
5,7.6236801533,6.1262162583,9.1211440483
