id,w,division,type
00001,2471.68,4,2
00002,8599.17,10,2
00003,8969.92,1,5
00004,18003.64,3,2
00005,5999.61,1,3
00006,4232.49,4,2
00007,7862.34,2,2
00008,6297.04,5,2
00009,12156.72,2,3
00010,3242.22,4,2
00011,8812.43,10,4
00012,15489.57,2,2
00013,7951.52,10,2
00014,7118.12,5,5
00015,14249.9,8,5
00016,37518.83,5,2
00017,15622.34,5,2
00018,7553.73,2,4
00019,5115.11,8,1
00020,4132.53,4,2
00021,7169.31,10,2
00022,17230.62,3,2
00023,10487.26,2,2
00024,7495.46,5,2
00025,1137.56,3,2
00026,4812.84,1,4
00027,8884.94,3,5
00028,8324.53,10,2
00029,11829.92,5,1
00030,8101.63,7,2
00031,3912.87,1,2
00032,4993.18,10,3
00033,2711.43,4,2
00034,6449.75,1,3
00035,5634.24,7,3
00036,15141.21,5,2
00037,12153,5,2
00038,3512.47,4,2
00039,11960.44,7,1
00040,11407.15,6,5
00041,4702.48,4,2
00042,8393.98,10,2
00043,8491.42,5,5
00044,7959.39,8,5
00045,7960.93,3,2
00046,5535.93,10,3
00047,37665.4,5,5
00048,8810.31,4,1
00049,6861.29,5,2
00050,10252.69,2,5
00051,5137.6,4,2
00052,5524.68,7,3
00053,10037.59,2,4
00054,7489.17,7,2
00055,18613.77,9,2
00056,7535.95,7,2
00057,7535.95,7,2
00058,5629.1,1,2
00059,14563.97,3,2
00060,5862.85,1,2
00061,18388.42,3,4
00062,6905.03,7,2
00063,11749.93,6,5
00064,9737.42,8,2
00065,6466.42,10,2
00066,7180.05,5,2
00067,10168.07,10,5
00068,5303.53,4,5
00069,5403.9,9,5
00070,15075.45,7,2
00071,16368.08,9,2
00072,10024.98,2,5
00073,30067.83,7,2
00074,9815.47,2,5
00075,6506.7,5,2
00076,15220.06,3,2
00077,8260.04,2,1
00078,4646.98,1,4
00079,20603.47,3,2
00080,10207.48,2,5
00081,6583.36,5,5
00082,4739.7,1,4
00083,22756.57,3,5
00084,4124.85,4,4
00085,9419.69,6,4
00086,7951.52,10,2
00087,4357.04,8,2
00088,7305.68,10,2
00089,7577.54,7,2
00090,14727.35,3,2
00091,7607.15,7,5
00092,9663.48,10,1
00093,11849.23,2,3
00094,7401.14,2,5
00095,14918.45,5,2
00096,2778.26,4,2
00097,11330.03,8,2
00098,7553.73,2,4
00099,15636.59,6,1
00100,2767.96,10,3
00101,7133.12,7,2
00102,2599.86,4,2
00103,2778.26,4,2
00104,15489.56,2,2
00105,13964.37,5,1
00106,7169.31,10,2
00107,7559.64,2,2
00108,8620.52,6,2
00109,13382.14,6,5
00110,5067.91,4,5
00111,10168.07,10,5
00112,13371.72,2,5
00113,15376.07,3,2
00114,11795.05,10,2
00115,8064.03,5,2
00116,7364.81,2,2
00117,2393.02,2,3
00118,4751.97,4,2
00119,6442.28,7,4
00120,7017.63,1,4
00121,10042.74,6,2
00122,9560.85,2,4
00123,4311.35,1,5
00124,9355.45,10,4
00125,13918.65,5,4
00126,6014.3,4,5
00127,4310.36,1,5
00128,7188.89,8,5
00129,8236.3,10,2
00130,6256.73,10,2
00131,8284.87,6,2
00132,6038.37,1,5
00133,6297.04,5,2
00134,7727.97,10,5
00135,7131.08,10,2
00136,8955.85,7,2
00137,8064.03,5,2
00138,6737.65,7,3
00139,12873.31,8,1
00140,10147.7,5,1
00141,15560.51,3,2
00142,11849.23,2,3
00143,5403.9,9,5
00144,6035.85,4,5
00145,4232.49,4,2
00146,15942.39,7,2
00147,10506.97,7,2
00148,7564.85,2,5
00149,7756.87,7,2
00150,15489.57,2,2
00151,18040.12,5,1
00152,8500.6,10,5
00153,15966.07,5,2
00154,7756.87,7,2
00155,10380.28,5,2
00156,4224,4,2
00157,18204.89,2,2
00158,11362.76,6,2
00159,18935.07,5,2
00160,6590.83,5,5
00161,20603.47,3,2
00162,12998.79,5,5
00163,15075.45,7,2
00164,15910.29,2,5
00165,4751.97,4,2
00166,6787.05,7,4
00167,13894.73,5,2
00168,4232.49,4,2
00169,7348.35,5,2
00170,6622.69,1,5
00171,7757.7,10,2
00172,9131.57,10,2
00173,10734.45,2,2
00174,6905.04,7,2
00175,9130.42,2,5
00176,33453.18,8,2
00177,7217.39,7,2
00178,3487.09,4,4
00179,3286.37,4,2
00180,4197.34,1,2
00181,5128.66,8,2
00182,14615.7,3,2
00183,12002.86,5,2
00184,44993.57,5,2
00185,6814.27,1,2
00186,22684.31,3,2
00187,11330.03,8,2
00188,7169.31,10,2
00189,7489.17,7,2
00190,8506.67,10,5
00191,14615.7,3,2
00192,8133.28,7,5
00193,10576.38,9,2
00194,14918.45,5,2
00195,5744.19,10,3
00196,3975.02,4,3
00197,17116.73,5,5
00198,12606.01,2,3
00199,10631.82,7,2
00200,11336.66,2,4
00201,10096.33,6,2
00202,4875.64,8,2
00203,8572.17,6,2
00204,8854.25,8,5
00205,9129.75,7,5
00206,5862.86,1,2
00207,7074.05,9,2
00208,6612.77,5,2
00209,11330.02,8,2
00210,10438.12,2,5
00211,14076.75,2,2
00212,8401.69,2,4
00213,5403.16,8,2
00214,4232.49,4,2
00215,5666.76,10,3
00216,3973.25,1,2
00217,7530.25,5,2
00218,8500.6,10,5
00219,5991.05,5,2
00220,9510.02,10,5
00221,2603.35,4,3
00222,8639.69,3,2
00223,7264.47,10,2
00224,18117.11,5,2
00225,6905.04,7,2
00226,4751.97,4,2
00227,8787.33,10,5
00228,18595.22,2,1
00229,5746.67,2,3
00230,6589.14,10,2
00231,14709.45,8,4
00232,7274.58,7,2
00233,7305.36,10,2
00234,12002.03,2,4
00235,5481.64,4,2
00236,7131.08,10,2
00237,14918.45,5,2
00238,7742.86,2,2
00239,21433.44,5,2
00240,7924.05,5,1
00241,9539.46,9,2
00242,3512.47,4,2
00243,4197.34,1,2
00244,2742.57,4,2
00245,8050.41,5,2
00246,10435.16,7,1
00247,4162.76,1,5
00248,14934.32,3,5
00249,16137.47,3,2
00250,4193.99,4,2
00251,2935.68,4,2
00252,18522.27,3,2
00253,11849.23,2,3
00254,11231.56,2,2
00255,6277.22,10,4
00256,8955.85,7,2
00257,7326.18,10,5
00258,10878.44,2,2
00259,4702.48,4,2
00260,3715.51,8,3
00261,10207.48,2,5
00262,8218.57,7,2
00263,8122.52,10,5
00264,6120.16,1,2
00265,5897.76,1,5
00266,4877.13,5,3
00267,14822.51,9,2
00268,6741.19,2,5
00269,10062.81,2,5
00270,9345.73,7,5
