
="",="(1)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="6",="7",="8",="9",="10",="11",="12",="13",="14",="Total"

="ohx01_1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)"

="ohx01_2",="0",="0",="0.0346",="0.272",="0.358",="0.332",="0.295",="0.271",="0.250",="0.202",="0.181",="0.125",="0.106",="0.0556",="0.149"
="",="(0)",="(0)",="(0.00297)",="(0.00887)",="(0.0106)",="(0.0103)",="(0.0101)",="(0.00997)",="(0.00978)",="(0.00899)",="(0.00791)",="(0.00799)",="(0.00892)",="(0.00573)",="(0.00192)"

="ohx01_3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)"

="ohx01_4",="1",="1",="0.965",="0.726",="0.631",="0.648",="0.684",="0.715",="0.736",="0.791",="0.813",="0.870",="0.890",="0.939",="0.844"
="",="(0)",="(0)",="(0.00297)",="(0.00889)",="(0.0107)",="(0.0105)",="(0.0103)",="(0.0101)",="(0.00994)",="(0.00911)",="(0.00800)",="(0.00811)",="(0.00907)",="(0.00600)",="(0.00195)"

="ohx01_5",="0",="0",="0",="0.00159",="0.0113",="0.0197",="0.0211",="0.0141",="0.0132",="0.00702",="0.00548",="0.00467",="0.00418",="0.00562",="0.00623"
="",="(0)",="(0)",="(0)",="(0.000795)",="(0.00234)",="(0.00304)",="(0.00319)",="(0.00264)",="(0.00258)",="(0.00187)",="(0.00151)",="(0.00165)",="(0.00187)",="(0.00187)",="(0.000424)"

="ohx01_9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)",="(0)"

="N",="34360",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="mean coefficients; semean in parentheses"
