"SEQN","RIDSTATR","RIDAGEYR","RIDRETH3","DMDEDUC2","DMDMARTL","WTMEC2YR","SDMVPSU","SDMVSTRA","INDHHIN2"
62161,2,22,3,NA,3,1,0,2,50
62162,2,3,1,NA,NA,2,0,2,24
62163,2,14,6,8,NA,2,1,1,42
62164,2,44,3,NA,4,2,0,1,52
62165,2,14,4,7,NA,2,0,2,33
62166,2,9,3,3,NA,4,0,1,44
62167,2,0,6,NA,NA,3,1,1,61
62168,2,6,7,0,NA,2,1,1,43
62169,2,21,6,NA,3,1,0,1,51
62170,2,15,7,9,NA,2,0,1,38
62171,2,14,1,7,NA,2,0,1,43
62172,2,43,4,NA,3,0,0,2,43
62173,2,2,1,NA,NA,0,0,2,33
62174,2,80,3,NA,5,0,2,2,80
62175,2,5,3,NA,NA,2,0,2,25
62176,2,34,3,NA,5,0,0,2,34
62177,2,51,6,NA,3,3,1,1,61
62178,2,80,3,NA,3,0,1,1,80
62179,2,55,6,NA,5,2,0,1,55
62180,2,35,3,NA,5,0,0,1,35
62181,2,9,1,3,NA,4,0,1,36
62182,1,75,3,NA,5,0,2,1,75
62183,2,6,4,0,NA,1,0,1,41
62184,2,26,4,NA,3,3,1,2,62
62185,2,16,1,10,NA,2,0,2,45
62186,2,17,4,10,NA,2,0,2,38
62187,2,9,1,3,NA,4,0,1,38
62188,2,2,2,NA,NA,2,0,2,40
62189,2,30,6,NA,4,0,0,2,30
62190,2,15,1,9,NA,4,0,2,43
62191,2,70,4,NA,3,0,2,2,71
62192,2,11,1,6,NA,2,0,2,45
62193,2,17,4,10,NA,3,0,2,38
62194,2,9,3,3,NA,3,0,2,43
62195,2,35,4,NA,4,1,0,2,21
62196,2,1,3,NA,NA,0,0,1,55
62197,2,16,4,10,NA,2,0,1,44
62198,2,7,3,1,NA,2,0,2,32
62199,2,57,3,NA,5,0,0,1,57
62200,2,42,6,NA,5,3,0,1,42
62201,1,58,6,NA,2,2,0,2,32
62202,2,36,1,NA,2,2,0,1,36
62203,2,8,4,2,NA,1,0,2,49
62204,1,9,6,3,NA,2,0,1,48
62205,2,28,3,NA,5,1,0,2,53
62206,2,35,3,NA,4,2,0,1,35
62207,2,0,4,NA,NA,0,0,2,35
62208,2,38,2,NA,4,2,0,2,37
62209,2,62,1,NA,1,2,1,1,40
62210,2,15,3,10,NA,2,1,2,52
62211,1,63,1,NA,1,0,2,1,66
62212,1,8,4,2,NA,1,0,1,56
62213,2,2,4,NA,NA,0,0,1,48
62214,2,22,4,NA,3,0,0,2,53
62215,2,65,3,NA,4,0,2,2,80
62216,2,0,3,NA,NA,0,0,2,31
62217,2,77,1,NA,1,1,1,2,77
62218,2,38,4,NA,4,1,0,1,18
62219,2,2,1,NA,NA,3,0,1,48
62220,2,31,4,NA,5,0,0,2,31
62221,2,41,4,NA,5,1,0,1,41
62222,2,32,3,NA,5,0,0,2,30
62223,2,54,6,NA,3,1,0,1,54
62224,2,29,2,NA,1,2,0,1,35
62225,2,13,1,7,NA,2,0,2,43
62226,2,80,2,NA,4,0,2,2,79
62227,2,19,3,15,NA,2,0,1,53
62228,2,50,3,NA,5,1,0,2,50
62229,2,31,3,NA,5,0,0,1,30
62230,2,75,3,NA,1,0,2,2,70
62231,2,48,1,NA,3,0,0,1,19
62232,2,42,3,NA,4,2,0,2,42
62233,2,63,1,NA,2,3,1,2,63
62234,2,23,4,NA,4,0,0,2,57
62235,2,2,3,NA,NA,0,0,1,35
62236,2,61,6,NA,4,0,1,1,61
62237,2,58,3,NA,5,0,1,2,58
62238,2,0,3,NA,NA,0,0,2,31
62239,2,22,2,NA,3,0,0,1,24
62240,2,14,2,9,NA,2,0,1,45
62241,2,2,2,NA,NA,1,0,2,34
62242,2,24,3,NA,5,0,0,1,50
62243,2,1,3,NA,NA,0,0,1,34
62244,2,1,1,NA,NA,0,0,1,32
62245,2,8,6,2,NA,1,0,1,44
62246,2,0,1,NA,NA,3,0,2,35
62247,1,0,4,NA,NA,0,0,1,34
62248,2,65,6,NA,1,1,1,1,24
62249,2,26,3,NA,5,0,0,2,26
62250,2,34,1,NA,5,0,0,1,34
62251,2,51,6,NA,4,0,0,1,59
62252,2,11,1,5,NA,1,0,1,30
62253,2,18,3,13,NA,0,0,1,42
62254,2,14,4,9,NA,2,0,1,32
62255,2,65,3,NA,3,0,2,2,65
62256,2,80,3,NA,1,0,2,2,79
62257,2,2,1,NA,NA,2,0,1,39
62258,2,47,2,NA,1,2,0,1,47
62259,2,61,4,NA,4,0,1,2,59
62260,2,10,3,4,NA,3,0,1,46
62261,2,47,2,NA,4,2,0,2,46
62262,2,0,2,NA,NA,1,0,1,35
62263,2,2,3,NA,NA,2,0,1,38
62264,2,77,3,NA,2,0,2,1,77
62265,2,52,3,NA,4,3,1,1,52
62266,2,64,3,NA,5,0,1,1,52
62267,2,27,3,NA,4,1,0,1,39
62268,2,15,1,9,NA,2,0,1,37
62269,2,29,4,NA,2,2,1,2,27
62270,2,33,2,NA,5,0,0,2,49
62271,2,7,4,0,NA,2,0,1,53
62272,2,9,2,3,NA,1,3,2,60
62273,2,15,6,10,NA,2,0,1,51
62274,2,2,4,NA,NA,2,0,2,37
62275,2,41,6,NA,5,0,0,2,41
62276,2,9,3,3,NA,1,0,2,42
62277,2,55,3,NA,4,0,0,2,55
62278,2,72,3,NA,4,0,2,2,72
62279,2,80,4,NA,2,0,1,1,80
62280,2,54,4,NA,4,0,0,2,54
62281,2,13,4,7,NA,2,0,2,35
62282,2,57,4,NA,5,0,1,2,80
62283,2,2,1,NA,NA,0,0,2,55
62284,2,64,3,NA,5,0,3,1,63
62285,2,17,3,11,NA,1,0,1,51
62286,2,30,4,NA,3,0,1,2,51
62287,2,73,4,NA,4,0,2,1,79
62288,2,29,3,NA,4,0,0,1,27
62289,2,71,7,NA,2,0,1,1,71
62290,2,2,4,NA,NA,0,0,1,22
62291,2,56,7,NA,4,0,0,1,56
62292,2,80,3,NA,5,0,3,1,80
62293,2,67,3,NA,4,0,1,1,67
62294,2,9,2,4,NA,2,0,2,33
62295,2,69,2,NA,2,0,1,2,69
62296,2,19,4,15,NA,0,0,2,51
62297,2,43,4,NA,4,1,0,1,43
62298,2,15,3,10,NA,2,0,1,50
62299,2,8,6,2,NA,4,0,1,54
62300,2,6,4,1,NA,2,0,2,37
62301,2,23,4,NA,2,0,1,2,59
62302,2,51,2,NA,1,0,0,2,46
62303,2,76,3,NA,3,0,2,1,80
62304,2,6,1,0,NA,1,0,1,39
62305,2,10,1,5,NA,1,0,1,48
62306,2,0,2,NA,NA,0,0,1,40
62307,2,61,4,NA,3,0,2,2,80
62308,2,78,3,NA,3,0,2,1,79
62309,2,47,1,NA,2,2,0,2,31
62310,2,8,4,1,NA,2,1,2,27
62311,2,18,3,15,NA,1,0,2,54
62312,2,63,1,NA,1,0,2,1,66
62313,2,7,1,0,NA,2,0,1,44
62314,2,61,4,NA,3,0,1,1,61
62315,2,80,4,NA,2,1,1,2,80
62316,2,39,2,NA,2,2,0,2,37
62317,2,46,3,NA,5,4,0,2,46
62318,2,0,3,NA,NA,2,0,2,42
62319,2,4,4,NA,NA,2,0,2,19
62320,2,64,3,NA,4,0,2,2,64
62321,2,8,6,3,NA,2,0,1,50
62322,2,4,4,NA,NA,2,0,2,25
62323,2,2,4,NA,NA,0,0,1,22
62324,2,60,1,NA,4,1,1,2,35
62325,2,43,4,NA,3,0,0,1,56
62326,2,69,3,NA,5,0,1,2,56
62327,2,19,4,15,NA,1,1,1,63
62328,2,9,4,3,NA,2,0,1,47
62329,2,2,2,NA,NA,2,0,1,32
62330,2,33,6,NA,5,0,0,2,33
62331,2,9,7,3,NA,1,0,1,43
62332,2,22,3,NA,4,0,0,1,22
62333,2,45,6,NA,3,0,2,1,53
62334,2,9,3,2,NA,2,0,2,38
62335,2,14,2,7,NA,2,0,2,49
62336,2,55,2,NA,4,0,0,2,56
62337,2,10,1,5,NA,3,0,1,37
62338,1,2,1,NA,NA,0,0,2,19
62339,2,29,3,NA,4,1,0,1,29
62340,2,44,3,NA,4,0,0,1,44
62341,2,8,1,2,NA,1,0,2,28
62342,2,38,3,NA,4,3,0,1,41
62343,2,28,4,NA,4,0,0,2,50
62344,1,32,4,NA,5,0,0,2,32
62345,2,38,3,NA,5,0,0,1,36
62346,2,19,7,15,NA,0,0,1,19
62347,2,71,3,NA,3,0,1,2,71
62348,2,19,4,12,NA,3,0,2,38
62349,2,23,3,NA,4,0,0,1,23
62350,2,43,3,NA,3,1,0,2,43
62351,2,7,3,1,NA,2,0,2,30
62352,2,3,4,NA,NA,3,0,2,58
62353,2,80,3,NA,5,0,2,2,79
62354,2,11,3,5,NA,2,0,2,43
62355,2,16,6,10,NA,1,0,2,45
62356,2,14,1,8,NA,3,0,2,33
62357,2,36,3,NA,4,0,0,1,36
62358,2,0,1,NA,NA,0,0,1,40
62359,2,54,1,NA,1,3,0,1,37
62360,2,17,4,10,NA,4,0,2,37
62361,2,7,4,1,NA,2,0,2,26
62362,2,11,4,5,NA,2,2,2,60
62363,2,44,3,NA,2,1,1,1,67
62364,2,4,1,NA,NA,1,0,2,40
62365,2,37,6,NA,4,0,0,1,46
62366,2,80,3,NA,3,0,2,1,80
62367,2,50,6,NA,2,2,0,1,50
62368,2,80,2,NA,1,0,1,2,80
62369,2,8,2,2,NA,2,0,2,37
62370,2,21,6,NA,4,0,0,1,54
62371,2,32,6,NA,5,0,0,2,33
62372,2,55,6,NA,4,0,0,1,59
62373,2,46,1,NA,1,1,0,2,48
62374,2,31,3,NA,4,2,0,2,31
62375,2,24,1,NA,3,0,0,2,20
62376,2,6,4,0,NA,1,0,1,35
62377,2,78,3,NA,2,0,1,2,78
62378,2,68,2,NA,1,0,2,2,68
62379,2,40,7,NA,5,0,2,2,29
62380,2,16,1,10,NA,1,0,2,45
62381,2,21,4,NA,3,0,2,1,70
62382,2,1,4,NA,NA,2,1,1,63
62383,2,23,3,NA,5,0,0,1,23
62384,2,40,3,NA,3,0,1,2,69
62385,2,0,4,NA,NA,3,0,2,30
62386,2,35,7,NA,3,1,0,1,35
62387,2,23,4,NA,3,0,0,1,23
62388,2,69,3,NA,3,0,1,2,69
62389,2,16,7,10,NA,3,0,1,47
62390,2,25,6,NA,5,0,0,2,25
62391,2,40,1,NA,3,1,0,1,38
62392,2,1,1,NA,NA,1,0,2,26
62393,2,20,1,NA,3,0,0,2,48
62394,2,1,1,NA,NA,0,0,2,52
62395,2,1,1,NA,NA,1,0,1,35
62396,2,10,1,4,NA,3,0,1,49
62397,2,70,1,NA,1,2,1,1,43
62398,2,9,3,3,NA,4,0,2,46
62399,2,53,1,NA,1,0,0,2,53
62400,2,31,3,NA,4,1,0,2,31
62401,2,15,3,9,NA,2,1,2,49
62402,2,48,6,NA,1,0,2,2,70
62403,2,3,4,NA,NA,0,0,1,38
62404,2,44,4,NA,3,0,0,1,44
62405,2,5,2,NA,NA,3,0,1,34
62406,2,10,2,4,NA,2,0,1,44
62407,2,49,7,NA,4,0,0,1,49
62408,1,58,3,NA,4,0,1,1,58
62409,2,80,3,NA,3,0,1,2,80
62410,2,5,4,NA,NA,1,0,2,53
62411,2,51,4,NA,4,0,0,2,51
62412,2,16,1,10,NA,2,0,1,44
62413,2,65,3,NA,4,0,1,1,65
62414,2,58,4,NA,3,0,0,2,56
62415,2,27,3,NA,4,0,0,1,26
62416,2,19,2,13,NA,1,0,2,51
62417,2,26,2,NA,4,0,0,2,26
62418,2,80,3,NA,1,0,1,1,80
62419,2,80,3,NA,3,0,2,1,80
62420,1,24,1,NA,4,1,0,1,47
62421,2,23,6,NA,5,0,0,1,24
62422,2,72,3,NA,4,0,1,2,72
62423,1,8,4,1,NA,2,0,1,47
62424,2,20,2,NA,2,0,0,1,41
62425,2,30,3,NA,5,0,0,1,30
62426,2,9,1,3,NA,4,0,1,31
62427,2,15,4,8,NA,3,0,1,38
62428,2,12,4,5,NA,2,0,2,29
62429,2,47,4,NA,5,1,0,1,47
62430,2,27,2,NA,5,1,0,2,30
62431,2,54,4,NA,2,0,0,1,54
62432,2,38,3,NA,5,2,0,1,37
62433,2,10,4,4,NA,1,0,1,42
62434,2,61,4,NA,3,0,2,1,60
62435,2,0,3,NA,NA,0,0,2,33
62436,2,4,1,NA,NA,1,0,2,50
62437,2,39,1,NA,2,2,0,1,39
62438,2,0,4,NA,NA,0,0,2,38
62439,2,75,3,NA,4,0,2,1,75
62440,2,22,1,NA,4,1,0,1,55
62441,2,68,2,NA,1,0,2,1,68
62442,2,0,4,NA,NA,0,0,1,43
62443,2,4,4,NA,NA,1,0,2,31
62444,2,23,4,NA,5,0,0,2,55
62445,2,42,4,NA,4,0,0,2,42
62446,2,4,2,NA,NA,0,0,2,27
62447,2,19,1,13,NA,1,0,2,39
62448,2,13,1,7,NA,3,0,2,32
62449,2,38,2,NA,2,1,0,1,45
62450,2,57,3,NA,4,1,0,1,57
