
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="1",="0.00488",="0",="0.409",="0",="0.124"
="",="0",="0.000452",="0",="0.00487",="0",="0.00178"

="age_2",="0",="0.186",="0",="0.0373",="0",="0.140"
="",="0",="0.00252",="0",="0.00188",="0",="0.00187"

="age_3",="0",="0.158",="0",="0.00147",="0.0197",="0.110"
="",="0",="0.00237",="0",="0.000381",="0.00737",="0.00169"

="age_4",="0",="0.104",="0",="0.00226",="0.0421",="0.0732"
="",="0",="0.00198",="0",="0.000471",="0.0107",="0.00141"

="age_5",="0",="0.0810",="0.0175",="0.00767",="0.0871",="0.0592"
="",="0",="0.00177",="0.0175",="0.000865",="0.0150",="0.00127"

="age_6",="0",="0.0797",="0",="0.0150",="0.0955",="0.0606"
="",="0",="0.00176",="0",="0.00121",="0.0156",="0.00129"

="age_7",="0",="0.0744",="0.0702",="0.0225",="0.0955",="0.0593"
="",="0",="0.00170",="0.0341",="0.00147",="0.0156",="0.00127"

="age_8",="0",="0.0677",="0.105",="0.0323",="0.121",="0.0578"
="",="0",="0.00163",="0.0410",="0.00175",="0.0173",="0.00126"

="age_9",="0",="0.0574",="0.0526",="0.0539",="0.138",="0.0572"
="",="0",="0.00151",="0.0298",="0.00224",="0.0183",="0.00125"

="age_10",="0",="0.0540",="0.0702",="0.0654",="0.118",="0.0581"
="",="0",="0.00147",="0.0341",="0.00245",="0.0171",="0.00126"

="age_11",="0",="0.0531",="0.123",="0.105",="0.112",="0.0691"
="",="0",="0.00145",="0.0439",="0.00304",="0.0168",="0.00137"

="age_12",="0",="0.0331",="0.333",="0.0864",="0.0815",="0.0499"
="",="0",="0.00116",="0.0630",="0.00279",="0.0145",="0.00117"

="age_13",="0",="0.0213",="0.105",="0.0659",="0.0337",="0.0348"
="",="0",="0.000937",="0.0410",="0.00246",="0.00958",="0.000988"

="age_14",="0",="0.0248",="0.123",="0.0967",="0.0562",="0.0466"
="",="0",="0.00101",="0.0439",="0.00293",="0.0122",="0.00114"

="N",="34360",="",="",="",="",=""

