
="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="2",="3",="4",="5",="Total"

="age_1",="0",="0",="0.289",="0",="0.124"
="",="0",="0",="0.00373",="0",="0.00178"

="age_2",="0.0211",="0",="0.297",="0",="0.140"
="",="0.00104",="0",="0.00376",="0",="0.00187"

="age_3",="0.177",="0",="0.0257",="0",="0.110"
="",="0.00275",="0",="0.00130",="0",="0.00169"

="age_4",="0.129",="0",="0.00210",="0.0153",="0.0732"
="",="0.00242",="0",="0.000376",="0.00680",="0.00141"

="age_5",="0.101",="0",="0.00507",="0.0581",="0.0592"
="",="0.00217",="0",="0.000584",="0.0130",="0.00127"

="age_6",="0.0978",="0",="0.0110",="0.116",="0.0606"
="",="0.00214",="0",="0.000859",="0.0177",="0.00129"

="age_7",="0.0915",="0",="0.0158",="0.125",="0.0593"
="",="0.00208",="0",="0.00103",="0.0183",="0.00127"

="age_8",="0.0845",="0",="0.0218",="0.122",="0.0578"
="",="0.00201",="0",="0.00120",="0.0181",="0.00126"

="age_9",="0.0716",="0.0833",="0.0363",="0.150",="0.0572"
="",="0.00186",="0.0833",="0.00154",="0.0198",="0.00125"

="age_10",="0.0664",="0.333",="0.0454",="0.131",="0.0581"
="",="0.00180",="0.142",="0.00171",="0.0187",="0.00126"

="age_11",="0.0653",="0.167",="0.0728",="0.116",="0.0691"
="",="0.00178",="0.112",="0.00214",="0.0177",="0.00137"

="age_12",="0.0419",="0.250",="0.0599",="0.0581",="0.0499"
="",="0.00144",="0.131",="0.00195",="0.0130",="0.00117"

="age_13",="0.0247",="0.167",="0.0473",="0.0520",="0.0348"
="",="0.00112",="0.112",="0.00175",="0.0123",="0.000988"

="age_14",="0.0283",="0",="0.0701",="0.0550",="0.0466"
="",="0.00120",="0",="0.00210",="0.0126",="0.00114"

="N",="34360",="",="",="",=""

