
="",="(1)",="",="",=""
="",="",="",="",=""
="",="2",="4",="5",="Total"

="age_1",="0",="0.148",="0",="0.124"
="",="0",="0.00209",="0",="0.00178"

="age_2",="0.000191",="0.166",="0",="0.140"
="",="0.000191",="0.00219",="0",="0.00187"

="age_3",="0.0266",="0.126",="0",="0.110"
="",="0.00223",="0.00195",="0",="0.00169"

="age_4",="0.136",="0.0623",="0.0151",="0.0732"
="",="0.00474",="0.00142",="0.00866",="0.00141"

="age_5",="0.142",="0.0440",="0.0955",="0.0592"
="",="0.00483",="0.00121",="0.0209",="0.00127"

="age_6",="0.134",="0.0464",="0.201",="0.0606"
="",="0.00471",="0.00124",="0.0285",="0.00129"

="age_7",="0.119",="0.0473",="0.226",="0.0593"
="",="0.00448",="0.00125",="0.0297",="0.00127"

="age_8",="0.106",="0.0485",="0.156",="0.0578"
="",="0.00426",="0.00126",="0.0258",="0.00126"

="age_9",="0.0972",="0.0497",="0.101",="0.0572"
="",="0.00410",="0.00128",="0.0214",="0.00125"

="age_10",="0.0767",="0.0545",="0.0905",="0.0581"
="",="0.00368",="0.00133",="0.0204",="0.00126"

="age_11",="0.0804",="0.0673",="0.0402",="0.0691"
="",="0.00376",="0.00147",="0.0140",="0.00137"

="age_12",="0.0406",="0.0516",="0.0452",="0.0499"
="",="0.00273",="0.00130",="0.0148",="0.00117"

="age_13",="0.0264",="0.0364",="0.0151",="0.0348"
="",="0.00222",="0.00110",="0.00866",="0.000988"

="age_14",="0.0149",="0.0525",="0.0151",="0.0466"
="",="0.00168",="0.00131",="0.00866",="0.00114"

="N",="34360",="",="",=""

