"",".","","","","","",""
"","1","2","3","4","6","7","Total"
"","b/colpct","b/colpct","b/colpct","b/colpct","b/colpct","b/colpct","b/colpct"
"Missing","197","165","359","283","241","32","1277"
"","6.748887","7.330076","4.519134","5.713709","8.610218","4.102564","5.899473"
"Complete","2722","2086","7585","4670","2558","748","20369"
"","93.25111","92.66992","95.48087","94.28629","91.38978","95.89744","94.10053"
"Total","2919","2251","7944","4953","2799","780","21646"
"","100","100","100","100","100","100","100"
"chi2","81.25086","","","","","",""
"p","4.59e-16","","","","","",""
